district_type,district_num,title,full_name,party,room_num,phone,email,website,first,middle,last,author_id,leg_id
House,1,Representative,Gary VanDeaver,R,E1.304,(512) 463-0692,gary.vandeaver@house.texas.gov,https://house.texas.gov/members/1,Gary,,VanDeaver,VanDeaver,89
House,25,Representative,Cody T. Vasut,R,E1.314,(512) 463-0564,cody.vasut@house.texas.gov,https://house.texas.gov/members/25,Cody,T. ,Vasut,Vasut,89
House,34,Representative,Denise Villalobos,R,E2.812,(512) 463-0462,denise.villalobos@house.texas.gov,https://house.texas.gov/members/34,Denise,,Villalobos,Villalobos,89
House,53,Representative,Wes Virdell,R,E2.304,(512) 463-0536,wes.virdell@house.texas.gov,https://house.texas.gov/members/53,Wes,,Virdell,Virdell,89
House,149,Representative,Hubert Vo,D,4N.8,(512) 463-0568,hubert.vo@house.texas.gov,https://house.texas.gov/members/149,Hubert,,Vo,Vo,89
House,140,Representative,Armando L. Walle,D,GW.16,(512) 463-0924,armando.walle@house.texas.gov,https://house.texas.gov/members/140,Armando,L. ,Walle,Walle,89
House,139,Representative,Charlene Ward Johnson,D,E2.320,(512) 463-0554,charlene.wardjohnson@house.texas.gov,https://house.texas.gov/members/139,Charlene,,Ward Johnson,Ward Johnson,89
Senate,23,Senator,Royce West,D,1E.5,(512) 463-0123,royce.west@senate.texas.gov,https://senate.texas.gov/member.php?d=23,Royce,,West,West,89
House,12,Representative,Trey Wharton,R,E1.312,(512) 463-0412,trey.wharton@house.texas.gov,https://house.texas.gov/members/12,Trey,,Wharton,Wharton,89
House,20,Representative,Terry Wilson,R,E2.722,(512) 463-0309,terry.wilson@house.texas.gov,https://house.texas.gov/members/20,Terry,,Wilson,Wilson,89
House,137,Representative,Gene Wu,D,GW.5,(512) 463-0492,gene.wu@house.texas.gov,https://house.texas.gov/members/137,Gene,,Wu,Wu,89
Senate,21,Senator,Judith Zaffirini,D,1E.13,(512) 463-0121,judith.zaffirini@senate.texas.gov,https://senate.texas.gov/member.php?d=21,Judith,,Zaffirini,Zaffirini,89
House,45,Representative,Erin Zwiener,D,E2.306,(512) 463-0647,erin.zwiener@house.texas.gov,https://house.texas.gov/members/45,Erin,,Zwiener,Zwiener,89
