id,race_name,candidate_id,candidate_name,candidate_party,candidate_votes,candidate_percentage
2178,STATE REPRESENTATIVE DISTRICT 136,337748,JOHN H. BUCY III (I),DEM,45185,62.02
2178,STATE REPRESENTATIVE DISTRICT 136,335875,AMIN SALAHUDDIN,REP,27665,37.98
2177,STATE REPRESENTATIVE DISTRICT 137,339549,LEE SHARP,LIB,5988,23.69
2177,STATE REPRESENTATIVE DISTRICT 137,2699,GENE WU (I),DEM,19286,76.31
2092,STATE REPRESENTATIVE DISTRICT 138,3311,LACEY HULL (I),REP,42022,57.02
2092,STATE REPRESENTATIVE DISTRICT 138,336813,STEPHANIE MORALES,DEM,31671,42.98
2126,STATE REPRESENTATIVE DISTRICT 139,338406,CHARLENE WARD JOHNSON,DEM,46196,100.0
2138,STATE REPRESENTATIVE DISTRICT 140,1227,ARMANDO LUCIO WALLE (I),DEM,22272,100.0
2087,STATE REPRESENTATIVE DISTRICT 141,1220,SENFRONIA THOMPSON (I),DEM,32492,100.0
2180,STATE REPRESENTATIVE DISTRICT 142,4554,HAROLD V. DUTTON JR (I),DEM,41430,100.0
2118,STATE REPRESENTATIVE DISTRICT 143,1357,ANA HERNANDEZ (I),DEM,27796,100.0
2207,STATE REPRESENTATIVE DISTRICT 144,1278,MARY ANN PEREZ (I),DEM,26617,100.0
2190,STATE REPRESENTATIVE DISTRICT 145,4575,CHRISTINA MORALES (I),DEM,46104,100.0
2128,STATE REPRESENTATIVE DISTRICT 146,336817,LAUREN ASHLEY SIMMONS,DEM,42840,77.72
2128,STATE REPRESENTATIVE DISTRICT 146,338482,LANCE YORK,REP,12282,22.28
2229,STATE REPRESENTATIVE DISTRICT 147,339090,CLAUDIO GUTIERREZ,REP,16332,25.46
2229,STATE REPRESENTATIVE DISTRICT 147,6132,JOLANDA  JONES (I),DEM,47828,74.54
2098,STATE REPRESENTATIVE DISTRICT 148,1031,PENNY MORALES SHAW (I),DEM,28341,54.94
2098,STATE REPRESENTATIVE DISTRICT 148,339104,KAY SMITH,REP,23246,45.06
2161,STATE REPRESENTATIVE DISTRICT 149,338335,LILY TRUONG,REP,20291,42.98
2161,STATE REPRESENTATIVE DISTRICT 149,1226,HUBERT VO (I),DEM,26921,57.02
2181,STATE REPRESENTATIVE DISTRICT 150,339014,"MARISELA ""MJ"" JIMENEZ",DEM,32181,40.14
2181,STATE REPRESENTATIVE DISTRICT 150,1216,VALOREE SWANSON (I),REP,48000,59.86
2239,"CHIEF JUSTICE, 2ND COURT OF APPEALS DISTRICT",1373,BONNIE SUDDERTH (I),REP,1066822,100.0
2244,"CHIEF JUSTICE, 5TH COURT OF APPEALS DISTRICT",331033,"JUSTIN JAY ""J.J."" KOCH",REP,768582,50.44
2244,"CHIEF JUSTICE, 5TH COURT OF APPEALS DISTRICT",338796,STACI WILLIAMS,DEM,755069,49.56
2237,"CHIEF JUSTICE, 8TH COURT OF APPEALS DISTRICT - UNEXPIRED TERM",337616,MARIA  SALAS MENDOZA,DEM,175541,100.0
2240,"CHIEF JUSTICE, 10TH COURT OF APPEALS DISTRICT",2559,MATT JOHNSON,REP,408449,100.0
2250,"CHIEF JUSTICE, 11TH COURT OF APPEALS DISTRICT",1410,JOHN BAILEY (I),REP,244026,100.0
2252,"CHIEF JUSTICE, 13TH COURT OF APPEALS DISTRICT",1413,GINA BENAVIDES,DEM,259134,43.22
2252,"CHIEF JUSTICE, 13TH COURT OF APPEALS DISTRICT",5471,JAIME TIJERINA,REP,340397,56.78
2341,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 2",339539,JENNIFER CAUGHEY,REP,1196245,53.28
2341,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 2",339102,BRENDETTA SCOTT,DEM,1049099,46.72
2312,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 6",339550,ANDREW JOHNSON,REP,1182592,52.84
2312,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 6",338209,SARAH BETH LANDAU (I),DEM,1055265,47.16
2284,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 7",337642,JULIE COUNTISS (I),DEM,1061387,47.49
2284,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 7",334694,CLINT MORGAN,REP,1173652,52.51
2293,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 8",339398,KRISTIN M. GUINEY,REP,1179946,52.83
2293,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 8",336224,RICHARD HIGHTOWER (I),DEM,1053629,47.17
2268,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 9",338643,AMBER BOYD-CORA,DEM,1051737,47.24
2268,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 9",339613,SUSANNA DOKUPIL,REP,1174793,52.76
2297,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 4",336609,WADE BIRDWELL (I),REP,1052598,100.0
2295,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 5",1412,DABNEY BASSEL (I),REP,1046145,100.0
2289,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6",6845,MIKE WALLACH (I),REP,1043319,100.0
2344,"JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 2",337636,MAGGIE ELLIS,DEM,700587,50.9
2344,"JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 2",338542,JOHN MESSINGER,REP,675885,49.1
2277,"JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 3",337963,CHARI KELLY (I),DEM,861015,100.0
2317,"JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 5",336806,KARIN CRUMP,DEM,849117,100.0
2318,"JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 6",1398,GISELA D. TRIANA (I),DEM,846634,100.0
2263,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",338838,VELIA J. MEZA,DEM,659396,100.0
2358,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",338396,CYNTHIA MARIE CHAPA,DEM,532364,48.66
2358,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",334677,TODD MCCRAY,REP,561713,51.34
2294,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",339616,LORI MASSEY BRISSETTE,REP,567689,51.91
2294,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",338989,LUZ ELENA CHAPA (I),DEM,525857,48.09
2357,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",338567,LIZA A. RODRIGUEZ (I),DEM,534607,48.91
2357,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",339165,ADRIAN SPEARS,REP,558509,51.09
2326,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",1889,LORI I. VALENZUELA (I),REP,728595,100.0
2267,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 2",339615,JESSICA LEWIS,REP,781250,51.39
2267,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 2",337647,ROBBIE PARTIDA-KIPNESS (I),DEM,739035,48.61
2259,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 5",339570,CYNTHIA BARBARE,REP,767119,50.45
2259,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 5",337646,ERIN A. NOWELL (I),DEM,753359,49.55
2273,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 9",1938,TINA CLINTON,DEM,760927,50.05
2273,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 9",339219,MATTHEW J. KOLODOSKI,REP,759331,49.95
2281,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 10",339608,EARL JACKSON,REP,761274,50.12
2281,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 10",337662,AMANDA REICHEK (I),DEM,757764,49.88
2323,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 11",337763,KIM COOKS,DEM,751844,49.52
2323,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 11",339386,GINO J. ROSSINI,REP,766448,50.48
2304,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 12",3807,MIKE LEE,REP,771073,50.78
2304,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 12",337661,KEN MOLBERG (I),DEM,747477,49.22
2309,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 13",1744,EMILY A. MISKEL (I),REP,761488,50.15
2309,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 13",1777,TONYA PARKER,DEM,756942,49.85
2253,"JUSTICE, 6TH COURT OF APPEALS DISTRICT, PLACE 2",337732,JEFF RAMBIN (I),REP,278878,100.0
2260,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2",1472,JUDY PARKER (I),REP,271697,100.0
2266,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3",334701,ALEX YARBROUGH (I),REP,269267,100.0
2352,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2",329766,LISA SOTO (I),DEM,174533,100.0
2349,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 3",335776,GINA M. PALAFOX (I),DEM,173569,100.0
2314,"JUSTICE, 9TH COURT OF APPEALS DISTRICT, PLACE 3",1445,LEANNE JOHNSON (I),REP,437253,100.0
2285,"JUSTICE, 9TH COURT OF APPEALS DISTRICT, PLACE 4",336992,KENT CHAMBERS,REP,432908,100.0
2350,"JUSTICE, 12TH COURT OF APPEALS DISTRICT, PLACE 3",339788,GREG NEELEY (I),REP,342795,100.0
2348,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 2",337292,JENNY CRON,REP,319759,53.46
2348,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 2",337514,NORA LONGORIA (I),DEM,278369,46.54
2355,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4",339764,YSMAEL D. FONSECA,REP,328381,55.32
2355,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4",337897,JOE MARTINEZ,DEM,265258,44.68
2280,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 5",338163,REGI COMPIAN RICHARDSON,DEM,247772,41.9
2280,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 5",339789,JON WEST,REP,343625,58.1
2305,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 3",6256,CHAD BRIDGES,REP,1202180,54.0
2305,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 3",5562,VELDA RENITA FAULKNER,DEM,1024078,46.0
2356,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 4",339783,TONYA MCLAUGHLIN,REP,1188161,53.44
2356,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 4",337276,CHARLES SPAIN (I),DEM,1035330,46.56
2310,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 5",339741,MARITZA MICHELE ANTÚ,REP,1174454,52.95
2310,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 5",337791,FRANCES BOURLIOT (I),DEM,1043570,47.05
2343,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 6",339168,KATY BOATMAN,REP,1178825,53.08
2343,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 6",337512,MEAGAN HASSAN (I),DEM,1042183,46.92
2287,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 8",339767,BRAD HART,REP,1172530,52.85
2287,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 8",335736,MARGARET 'MEG' POISSANT (I),DEM,1046091,47.15
2678,"DISTRICT JUDGE, 1ST JUDICIAL DISTRICT",1746,CRAIG M. MIXSON (I),REP,25454,100.0
2401,"DISTRICT JUDGE, 2ND JUDICIAL DISTRICT",339446,CHRIS DAY (I),REP,17392,100.0
2659,"DISTRICT JUDGE, 3RD JUDICIAL DISTRICT",1518,MARK A. CALHOON (I),REP,55703,100.0
2581,"DISTRICT JUDGE, 4TH JUDICIAL DISTRICT",339885,DAVID HILL,REP,17518,100.0
2426,"DISTRICT JUDGE, 5TH JUDICIAL DISTRICT",3195,BILL MILLER (I),REP,40487,100.0
2400,"DISTRICT JUDGE, 6TH JUDICIAL DISTRICT",6865,R. WESLEY TIDWELL (I),REP,22185,100.0
2812,"DISTRICT JUDGE, 7TH JUDICIAL DISTRICT",336856,KERRY L. RUSSELL (I),REP,80132,100.0
2418,"DISTRICT JUDGE, 8TH JUDICIAL DISTRICT",3659,EDDIE NORTHCUTT (I),REP,27414,100.0
2739,"DISTRICT JUDGE, 9TH JUDICIAL DISTRICT",337187,PHIL GRANT (I),REP,246635,100.0
2563,"DISTRICT JUDGE, 10TH JUDICIAL DISTRICT",337166,REBECCA MILLO,REP,118106,100.0
2811,"DISTRICT JUDGE, 11TH JUDICIAL DISTRICT",6844,NILE BAILEY COPELAND,REP,710240,48.33
2811,"DISTRICT JUDGE, 11TH JUDICIAL DISTRICT",1644,KRISTEN HAWKINS (I),DEM,759292,51.67
2440,"DISTRICT JUDGE, 12TH JUDICIAL DISTRICT",3399,DAVID WAYNE MOORMAN (I),REP,36045,100.0
2564,"DISTRICT JUDGE, 13TH JUDICIAL DISTRICT",335687,JAMES E. LAGOMARSINO (I),REP,17667,100.0
2370,"DISTRICT JUDGE, 14TH JUDICIAL DISTRICT",338871,LEAH FELDHENDLER,REP,320407,39.75
2370,"DISTRICT JUDGE, 14TH JUDICIAL DISTRICT",336985,ERIC V. MOYÉ (I),DEM,485549,60.25
2373,"DISTRICT JUDGE, 15TH JUDICIAL DISTRICT",335763,JIM FALLON (I),REP,53890,100.0
2394,"DISTRICT JUDGE, 16TH JUDICIAL DISTRICT",1839,SHERRY SHIPMAN (I),REP,286022,100.0
2626,"DISTRICT JUDGE, 17TH JUDICIAL DISTRICT",336790,MELODY WILKINSON (I),REP,529815,100.0
2415,"DISTRICT JUDGE, 18TH JUDICIAL DISTRICT",5527,SYDNEY B. HEWLETT (I),REP,68024,100.0
2393,"DISTRICT JUDGE, 19TH JUDICIAL DISTRICT",338821,BARRY JOHNSON,DEM,31092,32.31
2393,"DISTRICT JUDGE, 19TH JUDICIAL DISTRICT",336468,THOMAS WEST (I),REP,65127,67.69
2486,"DISTRICT JUDGE, 20TH JUDICIAL DISTRICT",1933,JOHN W. YOUNGBLOOD (I),REP,9412,100.0
2583,"DISTRICT JUDGE, 21ST JUDICIAL DISTRICT",1519,CARSON CAMPBELL (I),REP,56055,100.0
2590,"DISTRICT JUDGE, 22ND JUDICIAL DISTRICT",2548,R. BRUCE BOYER (I),REP,172672,100.0
2699,"DISTRICT JUDGE, 23RD JUDICIAL DISTRICT",336591,JOHN MAHER,REP,24074,100.0
2421,"DISTRICT JUDGE, 24TH JUDICIAL DISTRICT",336529,LISA HARVEY MOORE,REP,52250,100.0
2425,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",1773,BILL OLD (I),REP,85704,100.0
2374,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",1543,JESSICA RICHARD CRAWFORD (I),REP,85251,100.0
2491,"DISTRICT JUDGE, 26TH JUDICIAL DISTRICT",336661,DONNA KING (I),REP,173784,100.0
2791,"DISTRICT JUDGE, 27TH JUDICIAL DISTRICT",339792,DEBBIE GARRETT,REP,98284,100.0
2636,"DISTRICT JUDGE, 28TH JUDICIAL DISTRICT",339505,MICHAEL MCCAULEY,REP,63375,54.5
2636,"DISTRICT JUDGE, 28TH JUDICIAL DISTRICT",1888,CARLOS VALDEZ,DEM,52908,45.5
2493,"DISTRICT JUDGE, 29TH JUDICIAL DISTRICT",337957,MICHAEL MOORE,REP,11428,100.0
2664,"DISTRICT JUDGE, 32ND JUDICIAL DISTRICT",1640,GLEN HARRISON (I),REP,7876,100.0
2777,"DISTRICT JUDGE, 33RD JUDICIAL DISTRICT",339794,ALLAN GARRETT (I),REP,43102,100.0
2396,"DISTRICT JUDGE, 34TH JUDICIAL DISTRICT",335703,BILL MOODY (I),DEM,156996,100.0
2538,"DISTRICT JUDGE, 35TH JUDICIAL DISTRICT",3568,MIKE SMITH (I),REP,17338,100.0
2397,"DISTRICT JUDGE, 37TH JUDICIAL DISTRICT",338356,NICOLE GARZA (I),DEM,444630,100.0
2801,"DISTRICT JUDGE, 38TH JUDICIAL DISTRICT",336592,KELLEY T. KIMBLE,REP,9001,100.0
2776,"DISTRICT JUDGE, 41ST JUDICIAL DISTRICT",1783,"ANNABELL ""ANNA"" PEREZ (I)",DEM,155318,100.0
2727,"DISTRICT JUDGE, 42ND JUDICIAL DISTRICT",337708,ARIMY BEASLEY,REP,56056,100.0
2825,"DISTRICT JUDGE, 43RD JUDICIAL DISTRICT",1881,S. CRAIG TOWSON (I),REP,78414,100.0
2445,"DISTRICT JUDGE, 48TH JUDICIAL DISTRICT",337156,CHRISTOPHER TAYLOR (I),REP,526128,100.0
2814,"DISTRICT JUDGE, 50TH JUDICIAL DISTRICT",6145,JENNIFER A. HABERT (I),REP,3155,100.0
2517,"DISTRICT JUDGE, 51ST JUDICIAL DISTRICT",3199,CARMEN SYMES DUSEK (I),REP,40394,100.0
2366,"DISTRICT JUDGE, 52ND JUDICIAL DISTRICT",339374,TRENT D.  FARRELL (I),REP,18842,100.0
2700,"DISTRICT JUDGE, 53RD JUDICIAL DISTRICT",337614,MARIA CANTÚ HEXSEL (I),DEM,400588,100.0
2452,"DISTRICT JUDGE, 56TH JUDICIAL DISTRICT",337128,LONNIE COX (I),REP,117761,100.0
2577,"DISTRICT JUDGE, 57TH JUDICIAL DISTRICT",336963,"ANTONIA ""TONI"" ARTEAGA (I)",DEM,435351,100.0
2746,"DISTRICT JUDGE, 59TH JUDICIAL DISTRICT",336034,LARRY PHILLIPS (I),REP,53103,100.0
2819,"DISTRICT JUDGE, 60TH JUDICIAL DISTRICT",336253,JUSTIN GARY SANDERSON (I),DEM,47091,100.0
2773,"DISTRICT JUDGE, 61ST JUDICIAL DISTRICT",1787,FREDERICKA PHILLIPS (I),DEM,724465,49.46
2773,"DISTRICT JUDGE, 61ST JUDICIAL DISTRICT",338618,LEE KATHRYN SHUCHART,REP,740386,50.54
2702,"DISTRICT JUDGE, 62ND JUDICIAL DISTRICT",3368,WILL BIARD (I),REP,38636,100.0
2603,"DISTRICT JUDGE, 63RD JUDICIAL DISTRICT",6312,ROLAND ANDRADE (I),REP,11900,100.0
2483,"DISTRICT JUDGE, 65TH JUDICIAL DISTRICT",335704,SELINA SAENZ,DEM,154760,100.0
2718,"DISTRICT JUDGE, 67TH JUDICIAL DISTRICT",336788,DON COSBY (I),REP,524030,100.0
2448,"DISTRICT JUDGE, 71ST JUDICIAL DISTRICT",335873,BRAD MORIN (I),REP,24489,100.0
2644,"DISTRICT JUDGE, 72ND JUDICIAL DISTRICT",339799,JOHN GRACE (I),REP,96906,100.0
2738,"DISTRICT JUDGE, 73RD JUDICIAL DISTRICT",338364,ELIZABETH MARTINEZ,DEM,436285,100.0
2674,"DISTRICT JUDGE, 74TH JUDICIAL DISTRICT",336467,GARY COLEY JR (I),REP,76816,100.0
2625,"DISTRICT JUDGE, 76TH JUDICIAL DISTRICT",339796,ANGELA SAUCIER (I),REP,16343,100.0
2656,"DISTRICT JUDGE, 77TH JUDICIAL DISTRICT",339790,ROY DEFRIEND,REP,14998,100.0
2745,"DISTRICT JUDGE, 78TH JUDICIAL DISTRICT",336108,MEREDITH KENNEDY (I),REP,34207,100.0
2462,"DISTRICT JUDGE, 79TH JUDICIAL DISTRICT",333060,MICHAEL VENTURA GARCIA,DEM,9956,100.0
2508,"DISTRICT JUDGE, 80TH JUDICIAL DISTRICT",339173,SONYA L. ASTON,REP,731731,50.02
2508,"DISTRICT JUDGE, 80TH JUDICIAL DISTRICT",5365,JERALYNN MANOR (I),DEM,731084,49.98
2780,"DISTRICT JUDGE, 84TH JUDICIAL DISTRICT",4622,CURT W. BRANCHEAU (I),REP,11485,100.0
2606,"DISTRICT JUDGE, 88TH JUDICIAL DISTRICT",339803,EARL B. STOVER III (I),REP,32934,100.0
2719,"DISTRICT JUDGE, 89TH JUDICIAL DISTRICT",335956,DOBIE KOSUB,REP,34033,100.0
2789,"DISTRICT JUDGE, 90TH JUDICIAL DISTRICT",337064,PHILLIP C. GREGORY (I),REP,10630,100.0
2554,"DISTRICT JUDGE, 91ST JUDICIAL DISTRICT",338663,STEVEN R. HEROD (I),REP,7509,100.0
2471,"DISTRICT JUDGE, 92ND JUDICIAL DISTRICT",338374,LUIS M. SINGLETERRY (I),DEM,153875,100.0
2395,"DISTRICT JUDGE, 93RD JUDICIAL DISTRICT",336126,FERNANDO MANCIAS (I),DEM,152692,100.0
2824,"DISTRICT JUDGE, 95TH JUDICIAL DISTRICT",336989,MONICA PURDY (I),DEM,611311,100.0
2532,"DISTRICT JUDGE, 96TH JUDICIAL DISTRICT",337097,PAT GALLAGHER (I),REP,523335,100.0
2742,"DISTRICT JUDGE, 97TH JUDICIAL DISTRICT",336547,TRISH COLEMAN BYARS (I),REP,19431,100.0
2783,"DISTRICT JUDGE, 98TH JUDICIAL DISTRICT",335887,SANDRA AVILA RAMIREZ,DEM,401285,100.0
2710,"DISTRICT JUDGE, 99TH JUDICIAL DISTRICT",338193,PHILLIP HAYS (I),REP,95410,100.0
2501,"DISTRICT JUDGE, 100TH JUDICIAL DISTRICT",336351,DALE A. RABE JR (I),REP,8175,100.0
2638,"DISTRICT JUDGE, 104TH JUDICIAL DISTRICT",339950,JEFF PROPST (I),REP,46249,100.0
2594,"DISTRICT JUDGE, 108TH JUDICIAL DISTRICT",338069,TIM PIRTLE,REP,25573,100.0
2820,"DISTRICT JUDGE, 114TH JUDICIAL DISTRICT",336855,AUSTIN REEVE JACKSON (I),REP,80034,100.0
2649,"DISTRICT JUDGE, 119TH JUDICIAL DISTRICT",337058,GONZALO P. RIOS JR,REP,41071,100.0
2477,"DISTRICT JUDGE, 121ST JUDICIAL DISTRICT",4751,"JOHN A. ""TREY"" DIDWAY (I)",REP,4786,100.0
2826,"DISTRICT JUDGE, 123RD JUDICIAL DISTRICT",1798,LEANN KAY RAFFERTY (I),REP,17518,100.0
2816,"DISTRICT JUDGE, 124TH JUDICIAL DISTRICT",1527,ALFONSO CHARLES (I),REP,36762,100.0
2459,"DISTRICT JUDGE, 125TH JUDICIAL DISTRICT",2896,KYLE CARTER (I),DEM,941867,100.0
2781,"DISTRICT JUDGE, 126TH JUDICIAL DISTRICT",337340,AURORA MARTINEZ JONES (I),DEM,400798,100.0
2529,"DISTRICT JUDGE, 127TH JUDICIAL DISTRICT",338653,DENISE BROWN,DEM,922898,100.0
2473,"DISTRICT JUDGE, 128TH JUDICIAL DISTRICT",339332,COURTNEY BURCH ARKEEN (I),REP,30699,100.0
2693,"DISTRICT JUDGE, 129TH JUDICIAL DISTRICT",5798,WILL ARCHER,REP,709841,48.46
2693,"DISTRICT JUDGE, 129TH JUDICIAL DISTRICT",1614,MICHAEL GOMEZ (I),DEM,754949,51.54
2556,"DISTRICT JUDGE, 130TH JUDICIAL DISTRICT",336680,DENISE M. FORTENBERRY (I),REP,10749,100.0
2689,"DISTRICT JUDGE, 131ST JUDICIAL DISTRICT",1615,NORMA GONZALES (I),DEM,428739,100.0
2788,"DISTRICT JUDGE, 132ND JUDICIAL DISTRICT",333205,DANA W. COOLEY (I),REP,5234,100.0
2579,"DISTRICT JUDGE, 133RD JUDICIAL DISTRICT",2560,MICHAEL LANDRUM,REP,729184,49.97
2579,"DISTRICT JUDGE, 133RD JUDICIAL DISTRICT",339024,NICOLE PERDUE,DEM,729958,50.03
2813,"DISTRICT JUDGE, 135TH JUDICIAL DISTRICT",339809,KEMPER STEPHEN WILLIAMS (I),REP,47825,100.0
2546,"DISTRICT JUDGE, 136TH JUDICIAL DISTRICT",336270,BAYLOR WORTHAM (I),DEM,47179,100.0
2411,"DISTRICT JUDGE, 138TH JUDICIAL DISTRICT",337980,GABRIELA GABBY GARCIA (I),DEM,79489,100.0
2782,"DISTRICT JUDGE, 139TH JUDICIAL DISTRICT",2786,"J. R. ""BOBBY"" FLORES (I)",DEM,152267,100.0
2734,"DISTRICT JUDGE, 140TH JUDICIAL DISTRICT",338195,DOUGLAS H. FREITAG (I),REP,95037,100.0
2451,"DISTRICT JUDGE, 142ND JUDICIAL DISTRICT",336501,DAVID GLENN ROGERS (I),REP,48497,100.0
2527,"DISTRICT JUDGE, 143RD JUDICIAL DISTRICT",5779,ALAN J. NICHOLAS,REP,4945,100.0
2669,"DISTRICT JUDGE, 145TH JUDICIAL DISTRICT",336692,JEFF DAVIS (I),REP,18240,100.0
2423,"DISTRICT JUDGE, 146TH JUDICIAL DISTRICT",339411,MIKE RUSSELL,REP,87199,100.0
2362,"DISTRICT JUDGE, 151ST JUDICIAL DISTRICT",337242,ERICA HUGHES,DEM,917486,100.0
2550,"DISTRICT JUDGE, 152ND JUDICIAL DISTRICT",338718,TAKASHA FRANCIS,DEM,904396,100.0
2679,"DISTRICT JUDGE, 153RD JUDICIAL DISTRICT",336792,SUSAN MCCOY (I),REP,524619,100.0
2406,"DISTRICT JUDGE, 161ST JUDICIAL DISTRICT",339140,JUSTIN WAYNE LOW (I),REP,35357,100.0
2761,"DISTRICT JUDGE, 162ND JUDICIAL DISTRICT",338115,KIM BAILEY,DEM,488611,60.61
2761,"DISTRICT JUDGE, 162ND JUDICIAL DISTRICT",338878,ASHLEY WYSOCKI (I),REP,317610,39.39
2721,"DISTRICT JUDGE, 163RD JUDICIAL DISTRICT",339331,REX WAYNE PEVETO (I),REP,30964,100.0
2634,"DISTRICT JUDGE, 164TH JUDICIAL DISTRICT",339163,AARON GABRIEL ADAMS,REP,719774,49.4
2634,"DISTRICT JUDGE, 164TH JUDICIAL DISTRICT",5547,CHERYL ELLIOTT THORNTON (I),DEM,737247,50.6
2663,"DISTRICT JUDGE, 165TH JUDICIAL DISTRICT",5104,BRUCE BAIN,REP,739109,50.77
2663,"DISTRICT JUDGE, 165TH JUDICIAL DISTRICT",1634,URSULA A. HALL (I),DEM,716555,49.23
2496,"DISTRICT JUDGE, 166TH JUDICIAL DISTRICT",1826,LAURA SALINAS (I),DEM,428327,100.0
2737,"DISTRICT JUDGE, 167TH JUDICIAL DISTRICT",336837,DAYNA BLAZEY (I),DEM,400257,100.0
2751,"DISTRICT JUDGE, 174TH JUDICIAL DISTRICT",4603,HAZEL B. JONES (I),DEM,903213,100.0
2552,"DISTRICT JUDGE, 175TH JUDICIAL DISTRICT",337629,CATHERINE TORRES-STAHL (I),DEM,425628,100.0
2398,"DISTRICT JUDGE, 176TH JUDICIAL DISTRICT",1638,"NIKITA ""NIKI"" HARMON (I)",DEM,895539,100.0
2651,"DISTRICT JUDGE, 177TH JUDICIAL DISTRICT",339068,EMILY MUNOZ DETOTO,REP,729131,50.13
2651,"DISTRICT JUDGE, 177TH JUDICIAL DISTRICT",1669,ROBERT JOHNSON (I),DEM,725463,49.87
2514,"DISTRICT JUDGE, 178TH JUDICIAL DISTRICT",1667,KELLI JOHNSON (I),DEM,897008,100.0
2523,"DISTRICT JUDGE, 179TH JUDICIAL DISTRICT",4672,ANA MARTINEZ (I),DEM,898152,100.0
2772,"DISTRICT JUDGE, 199TH JUDICIAL DISTRICT",338420,ANGELA TUCKER (I),REP,318278,100.0
2640,"DISTRICT JUDGE, 200TH JUDICIAL DISTRICT",337337,JESSICA MANGRUM (I),DEM,400628,100.0
